m(	10659	1.90969
m)	7481	1.34031
m-	2459	0.44056
m_	4804	0.86069
m=	1284	0.23004
m+	699	0.12523
m\	191	0.03422
m|	172	0.03082
m]	1578	0.28272
m}	454	0.08134
m[	2371	0.42479
m{	140	0.02508
m"	2230	0.39953
m'	1067	0.19117
m;	2579	0.46206
m:	2589	0.46385
m/	891	0.15963
m?	149	0.02670
m.	10171	1.82226
m>	1497	0.26821
m,	6242	1.11833
m<	200	0.03583
m§	51967	9.31051
m¶	6080	1.08931
m¬	47	0.00842
na	44571	2.93173
nb	1768	0.11629
nc	75788	4.98508
nd	175838	11.56604
ne	112906	7.42658
nf	7370	0.48477
ng	142854	9.39646
nh	984	0.06472
ni	29590	1.94633
nj	1194	0.07854
nk	7549	0.49655
nl	7338	0.48267
nm	1769	0.11636
nn	8358	0.54976
no	38530	2.53437
np	11778	0.77472
nq	546	0.03591
nr	2344	0.15418
ns	65424	4.30337
nt	249721	16.42581
nu	42303	2.78255
nv	10799	0.71032
nw	1028	0.06762
nx	1125	0.07400
ny	4842	0.31849
nz	387	0.02546
nA	944	0.06209
nB	988	0.06499
nC	2165	0.14241
nD	1109	0.07295
nE	646	0.04249
nF	1020	0.06709
nG	322	0.02118
nH	523	0.03440
nI	735	0.04835
nJ	36	0.00237
nK	235	0.01546
nL	820	0.05394
nM	799	0.05256
nN	722	0.04749
nO	703	0.04624
nP	1410	0.09275
nQ	148	0.00973
nR	1016	0.06683
nS	2172	0.14287
nT	1722	0.11327
nU	182	0.01197
nV	435	0.02861
nW	637	0.04190
nX	153	0.01006
nY	275	0.01809
nZ	23	0.00151
n1	2235	0.14701
n2	2318	0.15247
n3	577	0.03795
n4	204	0.01342
n5	132	0.00868
n6	418	0.02749
n7	87	0.00572
n8	81	0.00533
n9	89	0.00585
n0	258	0.01697
n`	235	0.01546
n~	123	0.00809
n!	1832	0.12050
n@	131	0.00862
n#	159	0.01046
n$	1538	0.10116
n%	1660	0.10919
n^	146	0.00960
n&	148	0.00973
n*	1000	0.06578
n(	51648	3.39723
n)	25727	1.69224
n-	8311	0.54667
n_	7669	0.50444
n=	3583	0.23568
n+	1999	0.13149
n\	1235	0.08123
n|	499	0.03282
n]	4601	0.30264
n}	1360	0.08946
n[	3122	0.20535
n{	409	0.02690
n"	19794	1.30198
